Open,High,Low,Close,Adj Close,Volume,Date
54.599998,55.150002,54.25,54.450001,51.494774,45700.0,2017-07-12
54.450001,54.599998,53.549999,54.0,51.069195,85200.0,2017-07-13
53.799999,54.200001,52.73,53.900002,50.974625,130800.0,2017-07-14
53.75,53.900002,53.450001,53.549999,50.643612,122100.0,2017-07-17
53.549999,53.849998,53.099998,53.650002,50.738186,70300.0,2017-07-18
53.650002,54.099998,53.5,54.049999,51.116486,121300.0,2017-07-19
54.150002,54.549999,53.75,54.400002,51.447491,86300.0,2017-07-20
54.599998,54.650002,53.75,53.849998,50.92733,112300.0,2017-07-21
53.900002,54.450001,53.299999,53.700001,50.785473,90200.0,2017-07-24
54.099998,54.700001,53.950001,54.150002,51.21106,89300.0,2017-07-25
54.349998,54.349998,53.599998,54.099998,51.163765,87700.0,2017-07-26
54.349998,54.599998,53.900002,53.950001,51.0219,80400.0,2017-07-27
53.75,54.599998,53.700001,54.450001,51.494774,114200.0,2017-07-28
54.650002,54.650002,53.380001,53.5,50.596329,138100.0,2017-07-31
53.799999,53.799999,53.0,53.549999,50.643612,135900.0,2017-08-01
50.5,51.549999,49.5,50.599998,47.853714,423800.0,2017-08-02
50.650002,51.950001,50.650002,51.900002,49.083172,283400.0,2017-08-03
52.0,52.900002,51.200001,52.150002,49.319595,154200.0,2017-08-04
52.150002,52.849998,51.950001,52.200001,49.36689,117000.0,2017-08-07
52.150002,53.5,52.049999,52.5,49.6506,128800.0,2017-08-08
52.25,52.5,50.900002,51.0,48.232021,130600.0,2017-08-09
50.75,50.900002,50.299999,50.299999,47.570011,164700.0,2017-08-10
49.700001,50.700001,49.349998,50.349998,47.61729,122800.0,2017-08-11
50.75,51.5,50.75,51.349998,48.563007,194200.0,2017-08-14
51.450001,51.450001,50.549999,50.650002,47.901016,113700.0,2017-08-15
50.75,51.700001,50.549999,51.400002,48.610302,248300.0,2017-08-16
51.200001,51.200001,50.200001,50.25,47.522736,223900.0,2017-08-17
49.849998,50.5,49.200001,50.400002,47.664585,179600.0,2017-08-18
50.299999,51.150002,50.299999,50.900002,48.13744,112800.0,2017-08-21
51.099998,51.330002,50.799999,51.299999,48.515728,72500.0,2017-08-22
50.900002,51.200001,50.900002,51.099998,48.32658,84200.0,2017-08-23
51.25,51.599998,51.099998,51.400002,48.610302,95300.0,2017-08-24
51.599998,52.0,51.299999,51.75,48.941311,60100.0,2017-08-25
51.900002,52.200001,51.700001,52.049999,49.225033,110000.0,2017-08-28
51.700001,52.5,51.299999,52.299999,49.461456,81200.0,2017-08-29
52.299999,52.400002,51.950001,52.200001,49.36689,70800.0,2017-08-30
52.349998,53.700001,52.25,53.599998,50.690899,133400.0,2017-08-31
53.700001,54.099998,53.549999,53.950001,51.0219,86200.0,2017-09-01
53.75,54.099998,53.400002,53.700001,50.785473,68600.0,2017-09-05
54.049999,54.049999,52.75,52.900002,50.028885,88100.0,2017-09-06
53.0,53.0,52.099998,52.5,49.6506,69800.0,2017-09-07
52.25,53.25,51.849998,53.0,50.286297,66800.0,2017-09-08
53.349998,53.75,53.25,53.650002,50.903015,59000.0,2017-09-11
53.75,54.549999,53.75,54.450001,51.662056,87800.0,2017-09-12
54.299999,55.0,53.799999,54.900002,52.089016,72000.0,2017-09-13
54.799999,55.349998,54.599998,55.25,52.421097,72500.0,2017-09-14
55.349998,56.049999,55.099998,55.5,52.658295,329800.0,2017-09-15
55.599998,56.150002,55.349998,55.950001,53.085239,128800.0,2017-09-18
56.099998,56.400002,53.5,55.75,52.895489,335000.0,2017-09-19
55.950001,56.5,55.450001,56.099998,53.22757,182100.0,2017-09-20
56.099998,56.400002,55.900002,55.900002,53.037811,109300.0,2017-09-21
55.849998,56.450001,55.700001,56.25,53.369888,77900.0,2017-09-22
56.150002,56.549999,55.75,56.5,53.60709,90600.0,2017-09-25
56.650002,56.650002,55.849998,55.900002,53.037811,117400.0,2017-09-26
56.200001,57.650002,55.650002,57.099998,54.176376,196300.0,2017-09-27
57.0,57.650002,56.650002,57.599998,54.650764,115100.0,2017-09-28
57.5,57.950001,57.25,57.400002,54.461014,95000.0,2017-09-29
57.450001,58.200001,57.330002,58.200001,55.220051,110100.0,2017-10-02
58.299999,58.599998,58.049999,58.349998,55.362366,100700.0,2017-10-03
58.299999,58.880001,58.099998,58.349998,55.362366,53900.0,2017-10-04
58.200001,58.450001,57.450001,57.450001,54.508446,115200.0,2017-10-05
57.549999,57.549999,56.849998,57.099998,54.176376,121700.0,2017-10-06
57.099998,57.599998,57.049999,57.049999,54.128933,82500.0,2017-10-09
57.450001,57.599998,56.799999,57.0,54.081497,139400.0,2017-10-10
56.950001,57.400002,56.900002,57.099998,54.176376,67200.0,2017-10-11
57.049999,57.75,56.900002,57.049999,54.128933,139100.0,2017-10-12
57.049999,57.5,56.900002,57.400002,54.461014,126100.0,2017-10-13
57.549999,58.200001,57.349998,58.049999,55.077732,53700.0,2017-10-16
57.900002,58.130001,56.950001,57.150002,54.223816,62800.0,2017-10-17
57.25,58.0,57.099998,57.549999,54.603325,45800.0,2017-10-18
57.25,57.5,56.799999,57.400002,54.461014,56200.0,2017-10-19
57.950001,58.400002,57.400002,57.700001,54.745644,90300.0,2017-10-20
58.0,58.700001,57.25,57.599998,54.650764,51400.0,2017-10-23
57.900002,58.200001,57.450001,57.700001,54.745644,93000.0,2017-10-24
57.799999,57.799999,56.75,57.400002,54.461014,48800.0,2017-10-25
57.549999,58.0,57.200001,57.900002,54.93541,75000.0,2017-10-26
58.049999,58.099998,57.450001,58.0,55.030289,106800.0,2017-10-27
57.849998,57.849998,55.799999,56.450001,53.559647,74700.0,2017-10-30
58.150002,60.849998,58.150002,60.349998,57.25996,245300.0,2017-10-31
60.5,60.580002,59.25,59.900002,56.833008,128900.0,2017-11-01
59.849998,60.5,59.549999,60.049999,56.97533,112100.0,2017-11-02
60.049999,60.200001,58.950001,59.099998,56.073963,88100.0,2017-11-03
59.049999,60.0,59.049999,59.900002,56.833008,63600.0,2017-11-06
59.849998,59.950001,58.650002,59.299999,56.263729,61400.0,2017-11-07
58.900002,59.150002,58.150002,58.900002,55.884216,102100.0,2017-11-08
58.450001,59.049999,58.0,58.650002,55.647007,72200.0,2017-11-09
58.5,59.049999,58.349998,58.549999,55.552116,72000.0,2017-11-10
58.25,58.900002,58.150002,58.849998,55.836765,57000.0,2017-11-13
