Open,High,Low,Close,Adj Close,Volume,Date
46.189999,46.970001,46.0,46.709999,38.585732,198500.0,2017-07-12
46.700001,46.82,46.0,46.150002,38.123138,168100.0,2017-07-13
46.330002,47.139999,46.330002,46.880001,38.726173,148800.0,2017-07-14
46.880001,47.580002,46.650002,47.150002,38.949203,300000.0,2017-07-17
47.75,47.75,47.080002,47.400002,39.155731,201000.0,2017-07-18
47.490002,47.639999,47.310001,47.459999,39.205284,153300.0,2017-07-19
47.66,47.75,47.200001,47.25,39.031807,163400.0,2017-07-20
47.98,47.98,46.959999,47.25,39.031807,165900.0,2017-07-21
47.380001,47.380001,46.82,46.98,38.808773,209700.0,2017-07-24
47.41,48.150002,46.5,47.779999,39.469631,441200.0,2017-07-25
47.91,49.09,47.810001,48.939999,40.42786,364700.0,2017-07-26
48.759998,49.299999,48.549999,49.040001,40.510483,271600.0,2017-07-27
49.040001,49.540001,48.869999,49.169998,40.617867,226600.0,2017-07-28
49.169998,49.27,48.75,49.169998,40.617867,144900.0,2017-07-31
49.419998,49.779999,49.110001,49.310001,40.733513,178200.0,2017-08-01
49.200001,49.23,48.689999,49.009998,40.485691,146400.0,2017-08-02
48.939999,49.720001,48.93,49.57,40.948296,358800.0,2017-08-03
49.439999,50.18,49.099998,49.669998,41.030895,215000.0,2017-08-04
49.830002,49.830002,49.150002,49.41,40.816109,121600.0,2017-08-07
49.27,49.700001,49.27,49.59,40.964806,170800.0,2017-08-08
49.650002,49.759998,49.150002,49.330002,40.750038,107300.0,2017-08-09
49.34,49.57,49.0,49.16,40.609608,89700.0,2017-08-10
48.790001,48.799999,48.150002,48.509998,40.072647,142400.0,2017-08-11
48.68,49.41,48.560001,49.23,40.667423,123800.0,2017-08-14
49.02,49.029999,48.07,48.82,40.328743,159000.0,2017-08-15
48.889999,49.41,48.619999,49.029999,40.502216,191900.0,2017-08-16
48.950001,49.439999,48.779999,48.799999,40.312229,105000.0,2017-08-17
48.52,48.970001,48.189999,48.830002,40.336998,150900.0,2017-08-18
48.790001,49.990002,48.790001,49.66,41.022625,195600.0,2017-08-21
49.77,49.919998,49.029999,49.400002,40.807858,93700.0,2017-08-22
49.279999,49.720001,49.049999,49.630001,40.997856,78600.0,2017-08-23
49.759998,50.049999,49.389999,49.41,40.816109,130400.0,2017-08-24
49.599998,49.599998,49.0,49.380001,40.791344,105400.0,2017-08-25
49.34,49.529999,48.77,48.950001,40.436134,135200.0,2017-08-28
48.82,49.310001,48.82,49.040001,40.510483,108300.0,2017-08-29
48.939999,49.080002,48.610001,48.98,40.460911,100800.0,2017-08-30
49.029999,50.259998,49.0,50.119999,41.402634,409100.0,2017-08-31
50.119999,50.380001,49.939999,50.259998,41.51828,107100.0,2017-09-01
50.400002,50.810001,50.110001,50.240002,41.501755,146700.0,2017-09-05
50.290001,50.650002,50.080002,50.130001,41.410896,142200.0,2017-09-06
50.400002,50.59,50.110001,50.48,41.700012,110200.0,2017-09-07
50.290001,50.639999,50.150002,50.5,41.716537,162700.0,2017-09-08
50.439999,50.849998,50.290001,50.59,41.790874,127900.0,2017-09-11
50.450001,50.669998,50.130001,50.209999,41.476982,287900.0,2017-09-12
50.220001,50.450001,49.98,50.150002,41.427402,111200.0,2017-09-13
50.0,50.970001,49.98,50.889999,42.038704,134800.0,2017-09-14
51.029999,51.07,50.290001,51.02,42.146095,429000.0,2017-09-15
51.009998,51.279999,50.860001,50.939999,42.080006,265600.0,2017-09-18
50.959999,51.209999,50.57,50.77,41.939571,131500.0,2017-09-19
50.75,50.91,49.939999,50.23,41.493504,152300.0,2017-09-20
50.18,50.630001,50.049999,50.07,41.36132,177100.0,2017-09-21
50.169998,50.419998,49.639999,49.720001,41.072208,96200.0,2017-09-22
49.619999,50.34,49.380001,49.950001,41.262196,127000.0,2017-09-25
50.040001,50.150002,49.75,49.77,41.11351,108100.0,2017-09-26
49.52,49.52,46.52,49.299999,40.725243,242800.0,2017-09-27
48.709999,49.41,48.470001,49.380001,41.213509,121300.0,2017-09-28
49.389999,49.630001,48.919998,49.080002,40.963127,127700.0,2017-09-29
49.169998,49.880001,49.110001,49.700001,41.480587,136200.0,2017-10-02
49.810001,49.869999,49.18,49.630001,41.422153,132300.0,2017-10-03
49.650002,49.650002,49.07,49.400002,41.230198,225100.0,2017-10-04
49.400002,49.740002,49.060001,49.32,41.163422,97400.0,2017-10-05
48.91,49.07,48.259998,49.02,40.91304,177600.0,2017-10-06
48.919998,49.450001,48.919998,49.34,41.180119,104400.0,2017-10-09
49.509998,49.880001,49.279999,49.560001,41.363735,71100.0,2017-10-10
49.650002,50.049999,49.349998,49.400002,41.230198,140400.0,2017-10-11
49.299999,49.57,49.189999,49.400002,41.230198,142400.0,2017-10-12
49.490002,49.82,49.400002,49.75,41.522312,140200.0,2017-10-13
49.639999,50.209999,49.34,49.919998,41.664192,172600.0,2017-10-16
49.810001,50.220001,49.220001,50.189999,41.889545,120300.0,2017-10-17
50.139999,50.580002,49.759998,50.349998,42.02309,200600.0,2017-10-18
50.119999,50.529999,49.98,50.279999,41.964664,138700.0,2017-10-19
50.34,50.34,49.470001,49.52,41.330338,247700.0,2017-10-20
49.59,49.810001,48.830002,49.060001,40.94643,217600.0,2017-10-23
49.189999,49.939999,48.259998,49.16,41.029888,230200.0,2017-10-24
49.130001,49.259998,47.509998,47.91,39.986622,201100.0,2017-10-25
48.209999,48.209999,46.950001,47.119999,39.327263,348200.0,2017-10-26
46.919998,47.310001,46.43,47.200001,39.394032,419000.0,2017-10-27
47.110001,47.5,46.869999,47.259998,39.444118,165800.0,2017-10-30
47.41,47.43,46.939999,47.290001,39.469158,136700.0,2017-10-31
47.549999,47.799999,47.240002,47.580002,39.711193,127200.0,2017-11-01
47.610001,48.52,47.490002,48.169998,40.203609,187900.0,2017-11-02
48.07,48.400002,47.810001,48.009998,40.070068,100000.0,2017-11-03
48.07,48.450001,47.860001,48.18,40.211971,106300.0,2017-11-06
48.09,48.950001,48.07,48.720001,40.662663,170800.0,2017-11-07
48.66,49.799999,48.57,49.02,40.91304,177400.0,2017-11-08
48.849998,49.369999,48.59,48.900002,40.812885,119000.0,2017-11-09
48.66,49.27,48.66,48.669998,40.62093,164000.0,2017-11-10
48.799999,49.529999,48.560001,49.48,41.296963,267100.0,2017-11-13
49.400002,49.790001,49.25,49.389999,41.221851,137200.0,2017-11-14
49.380001,49.91,48.849998,49.02,40.91304,148000.0,2017-11-15
49.16,49.619999,49.029999,49.540001,41.347042,130800.0,2017-11-16
49.380001,49.73,49.25,49.59,41.388779,395000.0,2017-11-17
49.650002,49.720001,49.389999,49.52,41.330338,126600.0,2017-11-20
49.599998,49.790001,49.470001,49.68,41.463894,158900.0,2017-11-21
49.610001,50.09,49.610001,49.849998,41.605778,78100.0,2017-11-22
49.939999,50.32,49.939999,50.189999,41.889545,65500.0,2017-11-24
50.150002,50.279999,49.57,49.630001,41.422153,102300.0,2017-11-27
49.66,49.91,49.200001,49.529999,41.338696,130000.0,2017-11-28
49.349998,49.790001,49.330002,49.41,41.238537,152100.0,2017-11-29
49.48,49.849998,49.009998,49.439999,41.26358,193800.0,2017-11-30
49.75,49.779999,48.650002,49.490002,41.305313,168200.0,2017-12-01
49.610001,50.0,49.169998,49.220001,41.079971,1643500.0,2017-12-04
49.200001,49.27,48.73,48.790001,40.721081,97100.0,2017-12-05
48.77,48.950001,48.360001,48.869999,40.787853,140600.0,2017-12-06
48.740002,49.560001,48.619999,49.439999,41.26358,223600.0,2017-12-07
49.68,50.139999,49.049999,49.689999,41.47224,180100.0,2017-12-08
49.650002,49.939999,49.450001,49.689999,41.47224,204800.0,2017-12-11
49.380001,50.43,49.380001,50.189999,41.889545,212000.0,2017-12-12
50.34,51.48,50.299999,51.18,42.715828,236700.0,2017-12-13
51.02,51.349998,50.759998,51.27,42.790947,242600.0,2017-12-14
51.349998,51.959999,51.349998,51.689999,43.141472,565800.0,2017-12-15
51.689999,53.09,51.619999,52.689999,43.976093,540000.0,2017-12-18
52.77,53.650002,51.75,52.009998,43.841225,653900.0,2017-12-19
52.150002,52.610001,51.220001,51.290001,43.23431,344400.0,2017-12-20
51.419998,51.419998,50.43,50.689999,42.72855,269400.0,2017-12-21
50.720001,51.0,50.450001,50.73,42.762272,166900.0,2017-12-22
50.950001,51.200001,50.34,50.959999,42.956135,128600.0,2017-12-26
51.220001,51.41,51.049999,51.220001,43.175297,104900.0,2017-12-27
51.450001,51.52,51.040001,51.48,43.394466,104200.0,2017-12-28
51.669998,51.77,51.360001,51.439999,43.36076,109100.0,2017-12-29
51.610001,51.849998,51.049999,51.43,43.35231,319400.0,2018-01-02
51.419998,51.810001,50.990002,51.34,43.276459,183700.0,2018-01-03
51.41,51.41,49.970001,50.509998,42.57682,286600.0,2018-01-04
50.549999,50.919998,50.220001,50.57,42.627388,143900.0,2018-01-05
50.509998,50.689999,50.200001,50.529999,42.593678,132600.0,2018-01-08
50.439999,50.439999,49.52,50.150002,42.273361,153800.0,2018-01-09
49.970001,49.970001,49.279999,49.75,41.936184,178200.0,2018-01-10
49.689999,50.060001,49.509998,49.580002,41.792885,173200.0,2018-01-11
49.560001,49.599998,48.919998,48.970001,41.278698,150700.0,2018-01-12
49.029999,49.860001,48.880001,48.900002,41.219688,222500.0,2018-01-16
49.09,49.540001,48.880001,49.299999,41.556854,161000.0,2018-01-17
49.09,49.470001,48.860001,49.279999,41.540001,225500.0,2018-01-18
49.119999,49.73,49.119999,49.73,41.919323,193400.0,2018-01-19
49.68,49.950001,49.57,49.82,41.995186,135900.0,2018-01-22
49.849998,50.68,49.790001,50.610001,42.661121,121300.0,2018-01-23
50.560001,50.790001,49.889999,49.959999,42.113201,127100.0,2018-01-24
49.759998,50.119999,49.27,49.700001,41.894035,200900.0,2018-01-25
49.790001,49.790001,49.07,49.189999,41.46413,141000.0,2018-01-26
49.07,49.07,47.790001,48.200001,40.629635,178500.0,2018-01-29
